tensor(2.0320, grad_fn=<NllLossBackward0>)
tensor(1.9397, grad_fn=<NllLossBackward0>)
tensor(1.8545, grad_fn=<NllLossBackward0>)
tensor(1.9596, grad_fn=<NllLossBackward0>)
tensor(2.1164, grad_fn=<NllLossBackward0>)
tensor(2.1159, grad_fn=<NllLossBackward0>)
tensor(1.9938, grad_fn=<NllLossBackward0>)
tensor(2.0109, grad_fn=<NllLossBackward0>)
tensor(2.0051, grad_fn=<NllLossBackward0>)
tensor(2.0093, grad_fn=<NllLossBackward0>)
tensor(1.8509, grad_fn=<NllLossBackward0>)
tensor(1.9376, grad_fn=<NllLossBackward0>)
